         57347559 function calls (56106207 primitive calls) in 92.745 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4352/4330    0.015    0.000    0.428    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/scale.py:120(set_default_locators_and_formatters)
198016/197908    0.220    0.000    0.426    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:179(set_children)
      525    0.000    0.000    0.422    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/messages.py:164(__getitem__)
     1088    0.004    0.000    0.419    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:1190(__init__)
       18    0.000    0.000    0.413    0.023 /Users/barnaby_platt/PersonalCode/weather/data_processing.py:16(read_grib_file)
       18    0.000    0.000    0.413    0.023 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/xarray/backends/api.py:479(open_dataset)
      525    0.001    0.000    0.411    0.001 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/messages.py:127(message_get)
        1    0.000    0.000    0.409    0.409 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/interpolate/__init__.py:1(<module>)
 1084/809    0.012    0.000    0.401    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:326(to_rgba)
2176/2175    0.002    0.000    0.394    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axis.py:2598(__init__)
   487424    0.269    0.000    0.391    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:2020(_setattr_cm)
        1    0.000    0.000    0.388    0.388 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/scipy/interpolate/_interpolate.py:1(<module>)
     2176    0.009    0.000    0.374    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/patches.py:583(_draw_paths_with_artist_properties)
 1085/809    0.008    0.000    0.361    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:120(to_rgba)
     4352    0.005    0.000    0.356    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:592(_get_colorizer)
     2176    0.004    0.000    0.348    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colorizer.py:53(__init__)
     5440    0.007    0.000    0.347    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/collections.py:774(_set_facecolor)
41344/41325    0.031    0.000    0.342    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:556(wrapper)
30464/30460    0.037    0.000    0.333    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:1087(__init__)
559504/538851    0.064    0.000    0.331    0.000 {built-in method builtins.hasattr}
       51    0.000    0.000    0.321    0.006 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/dataset.py:326(get_values_in_order)
       18    0.000    0.000    0.320    0.018 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/cfgrib/xarray_plugin.py:87(open_dataset)
     2176    0.016    0.000    0.315    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:2343(add_collection)
775064/775060    0.158    0.000    0.311    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:219(_is_nth_color)
     8704    0.005    0.000    0.310    0.000 /opt/homebrew/Cellar/python@3.13/3.13.3/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:515(enter_context)
4352/3380    0.155    0.000    0.305    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/cbook.py:683(safe_masked_invalid)
   291024    0.071    0.000    0.304    0.000 {built-in method _abc._abc_instancecheck}
41354/41335    0.014    0.000    0.303    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:677(_from_any)
41344/41325    0.061    0.000    0.303    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/font_manager.py:656(__init__)
82688/82676    0.173    0.000    0.301    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/transforms.py:2341(__init__)
 1087/809    0.008    0.000    0.299    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/colors.py:717(__call__)
21803/17859    0.009    0.000    0.295    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/PIL/PngImagePlugin.py:150(_crc32)
    15232    0.041    0.000    0.290    0.000 /Users/barnaby_platt/Documents/Weather/weather_env/lib/python3.13/site-packages/matplotlib/axes/_base.py:2608(_process_unit_info)
